epoch,accuracy,loss,val_accuracy,val_loss
0,0.764188289642334,0.5682708621025085,0.5,0.908730149269104
1,0.7787065505981445,0.5180447697639465,0.5,0.7389904260635376
2,0.844038724899292,0.3378925323486328,0.9014925360679626,0.2564811408519745
3,0.9216893911361694,0.19969232380390167,0.7701492309570312,0.5277469754219055
4,0.9417070150375366,0.1536175012588501,0.9283581972122192,0.18863244354724884
5,0.9641442894935608,0.10339764505624771,0.9328358173370361,0.1706792414188385
6,0.9720633625984192,0.08029986172914505,0.967164158821106,0.09008286893367767
7,0.9700835943222046,0.08410974591970444,0.967164158821106,0.08496437221765518
8,0.9769027829170227,0.0689365565776825,0.9597014784812927,0.10185851156711578
9,0.9813022613525391,0.05238322541117668,0.9656716585159302,0.0904790386557579
10,0.9808623194694519,0.05158289894461632,0.9223880767822266,0.2361091524362564
11,0.9832820296287537,0.04795731231570244,0.9716417789459229,0.07724884897470474
12,0.984161913394928,0.03977271541953087,0.9850746393203735,0.04495060443878174
13,0.9852617979049683,0.03721069544553757,0.9850746393203735,0.045391201972961426
14,0.9916409850120544,0.02331359125673771,0.9746268391609192,0.07012834399938583
15,0.9896612167358398,0.026006566360592842,0.9552238583564758,0.12286385893821716
16,0.9885613918304443,0.03007347509264946,0.9582089781761169,0.1159696877002716
17,0.9929608702659607,0.018985288217663765,0.967164158821106,0.08812212944030762
18,0.9971403479576111,0.008961777202785015,0.9880596995353699,0.0327712744474411
19,0.9898812174797058,0.02624574303627014,0.9716417789459229,0.07704697549343109
20,0.9940606951713562,0.017238350585103035,0.9701492786407471,0.09226677566766739
21,0.9949405789375305,0.013178755529224873,0.9597014784812927,0.11105485260486603
22,0.9980202317237854,0.007473802659660578,0.9880596995353699,0.037199366837739944
23,0.9982402324676514,0.0057471273466944695,0.9716417789459229,0.07597728073596954
24,0.9879014492034912,0.03475923091173172,0.9880596995353699,0.029625702649354935
25,0.9931808114051819,0.02312144823372364,0.9820895791053772,0.0613398551940918
26,0.9978002905845642,0.006208548787981272,0.9895522594451904,0.05284614488482475
27,0.9993400573730469,0.0030397565569728613,0.9880596995353699,0.058657288551330566
28,1.0,0.00113070965744555,0.9865671396255493,0.0715194121003151
29,1.0,0.00035465520340949297,0.9820895791053772,0.08325843513011932
30,1.0,0.00019402263569645584,0.9850746393203735,0.08271276205778122
31,1.0,0.0001356441789539531,0.9865671396255493,0.07867056131362915
32,1.0,0.00011111235653515905,0.983582079410553,0.08269789069890976
33,1.0,9.415752720087767e-05,0.983582079410553,0.08358894288539886
34,1.0,8.315010200021788e-05,0.9820895791053772,0.08885236829519272
