epoch,accuracy,loss,val_accuracy,val_loss
0,0.9093708992004395,0.20106671750545502,0.7970149517059326,0.5226899981498718
1,0.967883825302124,0.08363862335681915,0.5029850602149963,3.1779887676239014
2,0.9837219715118408,0.04468588903546333,0.5,5.216953754425049
3,0.9892212748527527,0.030633948743343353,0.5,4.426520347595215
4,0.9925208687782288,0.022388502955436707,0.5,4.93745756149292
5,0.9918609857559204,0.02321290224790573,0.6776119470596313,1.505859136581421
6,0.9894412755966187,0.027416205033659935,0.9149253964424133,0.3739338517189026
7,0.9923009276390076,0.01818220503628254,0.8014925122261047,0.9377378821372986
8,0.9962604641914368,0.010636290535330772,0.9134328365325928,0.41237524151802063
9,0.996480405330658,0.008696518838405609,0.9701492786407471,0.10861758142709732
10,0.9947206377983093,0.015448295511305332,0.9791044592857361,0.0742977038025856
11,0.9971403479576111,0.01103489100933075,0.9731343388557434,0.12428436428308487
12,0.9984601736068726,0.007663064636290073,0.9388059973716736,0.25734204053878784
13,0.9984601736068726,0.004494066815823317,0.9104477763175964,0.37518054246902466
14,0.9967004060745239,0.012942323461174965,0.9880596995353699,0.040741901844739914
15,0.9953805804252625,0.013931894674897194,0.9462686777114868,0.20420053601264954
16,0.9982402324676514,0.005520311184227467,0.9492537379264832,0.19501279294490814
17,0.9986801743507385,0.0037553810980170965,0.9686567187309265,0.1600586175918579
18,0.999779999256134,0.0009405841701664031,0.9507462978363037,0.27737510204315186
19,0.9960404634475708,0.014407090842723846,0.9119402766227722,0.49757516384124756
20,0.9973602890968323,0.007953882217407227,0.983582079410553,0.06045357510447502
21,0.9984601736068726,0.005277017597109079,0.9731343388557434,0.10703875124454498
22,0.9984601736068726,0.005434137769043446,0.9865671396255493,0.05273227021098137
23,0.9995600581169128,0.0012449257774278522,0.9761193990707397,0.09962179511785507
24,0.9993400573730469,0.0011631179368123412,0.9791044592857361,0.08922138810157776
